,Date,Promotion3
4149,20120511,2.28
4153,20120608,3.75
4154,20120615,3.01
4157,20120706,2.35
4158,20120713,4.08
4159,20120720,2.82
4160,20120727,0.24
4161,20120803,2.46
4162,20120810,1.03
4163,20120817,2.13
4164,20120824,6.52
4165,20120831,4.9
4166,20120907,124.14
4167,20120914,29.23
4262,20111111,163.33
4263,20111118,71.38
4264,20111125,40307.29
4265,20111202,1100.35
4266,20111209,471.16
4267,20111216,477.99
4268,20111223,974.28
4269,20111230,114.74
4270,20120106,91.69
4271,20120113,54.52
4272,20120120,74.41
4273,20120127,50.82
4274,20120203,128.54
4275,20120210,83.24
4276,20120217,10.34
4277,20120224,5.3
4278,20120302,26.38
4279,20120309,2.69
4280,20120316,8.13
4281,20120323,2.38
4282,20120330,-1.0
4283,20120406,21.86
4284,20120413,13.89
4285,20120420,16.05
4286,20120427,10.16
4287,20120504,116.3
4288,20120511,8.64
4289,20120518,47.39
4290,20120525,488.13
4291,20120601,378.31
4292,20120608,1.01
4293,20120615,2.85
4294,20120622,4.33
4296,20120706,36.15
4297,20120713,29.35
4298,20120720,13.74
4299,20120727,7.2
4300,20120803,76.19
4301,20120810,57.04
4302,20120817,0.01
4303,20120824,0.01
4304,20120831,79.4
4305,20120907,511.63
4306,20120914,112.13
4307,20120921,21.48
4308,20120928,0.15
4401,20111111,47.56
4402,20111118,48.08
4403,20111125,71845.76
4404,20111202,1075.86
4405,20111209,303.02
4406,20111216,572.44
4407,20111223,1255.26
4408,20111230,211.5
4409,20120106,208.29
4410,20120113,211.06
4411,20120120,214.77
4412,20120127,177.27
4413,20120203,306.03
4414,20120210,225.85
4415,20120217,39.2
4416,20120224,7.6
4417,20120302,10.1
4418,20120309,4.97
4419,20120316,1.19
4420,20120323,4.54
4421,20120330,7.84
4422,20120406,33.85
4423,20120413,25.75
4424,20120420,30.46
4425,20120427,45.62
4426,20120504,117.43
4427,20120511,26.79
4428,20120518,226.17
4429,20120525,216.17
4430,20120601,181.13
4431,20120608,77.99
4432,20120615,0.01
4433,20120622,3.05
4435,20120706,28.64
4436,20120713,1.05
4437,20120720,18.05
4438,20120727,2.16
4439,20120803,13.81
4440,20120810,61.32
4441,20120817,3.84
4442,20120824,127.58
4443,20120831,31.33
4444,20120907,233.55
4445,20120914,23.41
4446,20120921,3.0
4447,20120928,0.22
4540,20111111,5.06
4543,20111202,4.0
4544,20111209,6.93
4545,20111216,3.67
4546,20111223,2.78
4547,20111230,4.95
4548,20120106,2.55
4549,20120113,7.02
4550,20120120,3.64
4551,20120127,3.38
4552,20120203,3.38
4553,20120210,4.94
4554,20120217,3.9
4557,20120309,0.99
4559,20120323,0.34
4574,20120706,3.44
4575,20120713,0.6
4578,20120803,2.88
4580,20120817,0.96
4581,20120824,1.44
4679,20111111,65.95
4680,20111118,132.18
4681,20111125,42455.51
4682,20111202,1109.59
4683,20111209,127.58
4684,20111216,226.35
4685,20111223,1108.23
4686,20111230,210.22
4687,20120106,104.92
4688,20120113,48.38
4689,20120120,27.49
4690,20120127,18.98
4691,20120203,91.24
4692,20120210,58.87
4693,20120217,16.48
4694,20120224,2.6
4695,20120302,2.8
4697,20120316,2.7
4698,20120323,0.59
4699,20120330,5.59
4700,20120406,37.31
4701,20120413,14.82
4702,20120420,18.46
4703,20120427,8.87
4704,20120504,69.88
4705,20120511,29.11
4706,20120518,2.43
4707,20120525,146.38
4708,20120601,128.85
4709,20120608,0.37
4710,20120615,400.09
4713,20120706,103.13
4714,20120713,16.91
4715,20120720,5.98
4716,20120727,0.36
4717,20120803,37.88
4718,20120810,8.3
4719,20120817,6.13
4720,20120824,9.16
4721,20120831,18.56
4722,20120907,25.77
4723,20120914,11.31
4724,20120921,0.85
4725,20120928,0.22
4818,20111111,1134.49
4819,20111118,103.34
4820,20111125,58563.24
4821,20111202,3150.68
4822,20111209,529.1
4823,20111216,10748.31
4824,20111223,1429.48
4825,20111230,163.27
4826,20120106,24.73
4827,20120113,2.28
4828,20120120,5.46
4829,20120127,1.46
4830,20120203,41.68
4831,20120210,23.69
4832,20120217,2.64
4834,20120302,84.02
4835,20120309,68.3
4836,20120316,1.2
4837,20120323,0.25
4838,20120330,7.4
4839,20120406,10.27
4840,20120413,10.5
4841,20120420,6.05
4842,20120427,7.43
4843,20120504,9.87
4844,20120511,10.76
4845,20120518,2.87
4846,20120525,296.24
4847,20120601,9.66
4848,20120608,287.97
4849,20120615,1.04
4850,20120622,0.57
4852,20120706,47.5
4853,20120713,0.15
4854,20120720,25.9
4855,20120727,10.88
4856,20120803,11.63
4857,20120810,63.72
4859,20120824,57.08
4860,20120831,94.08
4861,20120907,53.35
4862,20120914,16.27
4863,20120921,6.0
4864,20120928,3.22
4960,20111202,10.0
4961,20111209,-0.87
4962,20111216,1.14
4963,20111223,0.76
4965,20120106,2.86
4966,20120113,7.04
4967,20120120,1.98
4968,20120127,0.44
4969,20120203,2.62
4970,20120210,3.82
4971,20120217,0.44
4974,20120309,0.99
4975,20120316,0.34
4976,20120323,1.7
4991,20120706,0.04
4992,20120713,0.01
4995,20120803,2.4
5000,20120907,1.75
5001,20120914,1.05
5096,20111111,117.92
5099,20111202,6.03
5100,20111209,16.62
5101,20111216,9.18
5102,20111223,7.5
5103,20111230,1.5
5104,20120106,48.05
5105,20120113,31.07
5106,20120120,27.94
5107,20120127,33.0
5108,20120203,93.34
5109,20120210,40.01
5110,20120217,2.86
5112,20120302,2.9
5113,20120309,10.7
5114,20120316,2.38
5115,20120323,0.68
5117,20120406,24.05
5118,20120413,1.9
5119,20120420,6.3
5120,20120427,7.58
5121,20120504,14.9
5122,20120511,0.7
5126,20120608,14.4
5127,20120615,4.51
5130,20120706,9.27
5131,20120713,1.23
5132,20120720,3.97
5133,20120727,0.93
5134,20120803,17.58
5135,20120810,23.22
5136,20120817,13.16
5137,20120824,23.9
5138,20120831,12.12
5139,20120907,251.31
5140,20120914,32.02
5235,20111111,6.05
5236,20111118,1.32
5237,20111125,5.26
5238,20111202,2.35
5239,20111209,2.44
5241,20111223,0.6
5243,20120106,56.96
5244,20120113,31.85
5245,20120120,28.02
5246,20120127,29.12
5247,20120203,52.66
5248,20120210,37.01
5249,20120217,5.72
5251,20120302,3.93
5253,20120316,1.02
5254,20120323,2.04
5256,20120406,10.47
5257,20120413,12.37
5258,20120420,5.6
5259,20120427,2.83
5260,20120504,13.06
5261,20120511,3.2
5263,20120525,0.5
5264,20120601,0.6
5265,20120608,11.8
5266,20120615,0.13
5269,20120706,4.05
5270,20120713,2.05
5271,20120720,0.19
5273,20120803,16.93
5274,20120810,4.78
5275,20120817,5.14
5276,20120824,40.0
5277,20120831,28.64
5278,20120907,147.32
5279,20120914,15.47
5374,20111111,342.83
5375,20111118,162.51
5376,20111125,77126.16
5377,20111202,2100.01
5378,20111209,292.36
5379,20111216,505.72
5380,20111223,1339.1
5381,20111230,193.95
5382,20120106,120.18
5383,20120113,83.04
5384,20120120,90.56
5385,20120127,82.5
5386,20120203,228.69
5387,20120210,115.26
5388,20120217,24.9
5389,20120224,2.0
5390,20120302,7.2
5391,20120309,3.57
5392,20120316,6.24
5393,20120323,4.08
5395,20120406,46.4
5396,20120413,15.9
5397,20120420,0.2
5398,20120427,-0.2
5399,20120504,30.12
5400,20120511,8.34
5401,20120518,7.0
5402,20120525,967.95
5403,20120601,64.71
5404,20120608,0.24
5405,20120615,0.06
5406,20120622,0.99
5408,20120706,90.79
5409,20120713,15.75
5410,20120720,31.54
5411,20120727,7.24
5412,20120803,51.52
5413,20120810,112.9
5414,20120817,2.33
5415,20120824,0.02
5416,20120831,63.4
5417,20120907,197.48
5418,20120914,67.58
5419,20120921,6.7
5420,20120928,4.25
5513,20111111,191.71
5514,20111118,31.81
5515,20111125,40362.07
5516,20111202,2363.99
5517,20111209,94.05
5518,20111216,383.98
5519,20111223,1065.7
5520,20111230,205.29
5521,20120106,169.85
5522,20120113,129.34
5523,20120120,101.86
5524,20120127,126.72
5525,20120203,108.41
5526,20120210,66.01
5527,20120217,33.48
5528,20120224,2.0
5530,20120309,0.4
5531,20120316,3.85
5532,20120323,2.77
5533,20120330,9.34
5534,20120406,43.35
5535,20120413,34.1
5536,20120420,25.59
5537,20120427,24.94
5538,20120504,78.21
5539,20120511,408.25
5540,20120518,103.83
5541,20120525,303.31
5542,20120601,50.93
5543,20120608,44.64
5544,20120615,42.74
5545,20120622,4.72
5547,20120706,62.07
5548,20120713,23.66
5549,20120720,9.52
5550,20120727,4.24
5551,20120803,6.36
5552,20120810,0.32
5553,20120817,1.02
5554,20120824,48.06
5555,20120831,23.95
5556,20120907,39.66
5557,20120914,62.88
5652,20111111,309.49
5653,20111118,69.52
5654,20111125,79621.2
5655,20111202,1781.24
5656,20111209,141.21
5657,20111216,283.08
5658,20111223,1059.9
5659,20111230,134.7
5660,20120106,126.87
5661,20120113,112.2
5662,20120120,119.55
5663,20120127,112.01
5664,20120203,231.92
5665,20120210,127.05
5666,20120217,14.96
5667,20120224,3.2
5668,20120302,21.0
5669,20120309,7.74
5670,20120316,4.59
5671,20120323,2.6
5672,20120330,7.09
5673,20120406,49.15
5674,20120413,24.23
5675,20120420,37.89
5676,20120427,203.99
5677,20120504,308.08
5678,20120511,250.13
5679,20120518,179.28
5680,20120525,277.14
5681,20120601,127.56
5682,20120608,78.07
5683,20120615,5.66
5684,20120622,8.58
5686,20120706,31.44
5687,20120713,1.6
5688,20120720,23.84
5689,20120727,2.53
5690,20120803,44.56
5691,20120810,6.43
5692,20120817,1.95
5693,20120824,85.74
5694,20120831,58.91
5695,20120907,145.19
5696,20120914,11.14
5697,20120921,6.0
5698,20120928,3.0
5791,20111111,14.74
5792,20111118,2.02
5793,20111125,4.7
5794,20111202,4.7
5795,20111209,21.31
5796,20111216,31.33
5797,20111223,19.63
5798,20111230,3.64
5799,20120106,77.86
5800,20120113,21.1
5803,20120203,15.97
5804,20120210,25.7
5805,20120217,3.94
5807,20120302,1.96
5808,20120309,3.43
5809,20120316,2.35
5810,20120323,0.68
5812,20120406,34.23
5813,20120413,14.51
5814,20120420,16.1
5815,20120427,12.09
5816,20120504,18.34
5817,20120511,4.0
5819,20120525,0.9
5820,20120601,1.1
5821,20120608,16.64
5822,20120615,2.17
5825,20120706,9.43
5826,20120713,2.36
5827,20120720,4.48
5829,20120803,5.97
5830,20120810,18.08
5831,20120817,24.22
5832,20120824,54.43
5833,20120831,18.65
5834,20120907,220.6
5835,20120914,46.65
5930,20111111,3.06
5931,20111118,2.56
5932,20111125,5.76
5933,20111202,6.11
5934,20111209,7.41
5935,20111216,2.5
5936,20111223,3.75
5938,20120106,70.35
5939,20120113,32.36
5940,20120120,31.72
5941,20120127,26.26
5942,20120203,51.66
5943,20120210,27.07
5944,20120217,0.52
5946,20120302,15.84
5948,20120316,2.04
5949,20120323,1.36
5951,20120406,12.17
5952,20120413,4.49
5953,20120420,5.6
5954,20120427,1.98
5955,20120504,9.06
5956,20120511,2.16
5958,20120525,1.1
5959,20120601,0.8
5960,20120608,3.96
5961,20120615,0.65
5962,20120622,3.2
5964,20120706,3.02
5965,20120713,0.71
5966,20120720,3.69
5967,20120727,1.19
5968,20120803,24.23
5969,20120810,9.33
5970,20120817,11.9
5971,20120824,13.07
5972,20120831,12.39
5973,20120907,18.29
5974,20120914,18.56
6069,20111111,4.29
6072,20111202,4.23
6073,20111209,0.47
6074,20111216,6.75
6077,20120106,54.05
6078,20120113,48.39
6079,20120120,66.0
6080,20120127,63.36
6081,20120203,77.54
6082,20120210,76.33
6083,20120217,17.6
6085,20120302,3.39
6086,20120309,0.49
6087,20120316,0.99
6088,20120323,0.34
6090,20120406,11.76
6091,20120413,18.08
6092,20120420,7.7
6093,20120427,3.98
6094,20120504,8.62
6095,20120511,2.1
6099,20120608,31.29
6100,20120615,9.88
6101,20120622,0.79
6103,20120706,2.87
6104,20120713,0.63
6105,20120720,1.22
6107,20120803,1.54
6108,20120810,6.99
6109,20120817,9.77
6110,20120824,87.77
6111,20120831,39.11
6112,20120907,106.31
6113,20120914,22.15
6208,20111111,189.24
6209,20111118,111.71
6210,20111125,26961.99
6211,20111202,802.79
6212,20111209,379.57
6213,20111216,801.34
6214,20111223,1962.19
6215,20111230,287.45
6216,20120106,34.6
6217,20120113,0.92
6218,20120120,2.19
6220,20120203,21.05
6221,20120210,5.43
6222,20120217,1.76
6223,20120224,2.0
6224,20120302,4.0
6225,20120309,1.99
6226,20120316,3.69
6227,20120323,4.56
6228,20120330,3.25
6229,20120406,26.59
6230,20120413,16.68
6231,20120420,6.25
6232,20120427,37.12
6233,20120504,47.52
6234,20120511,21.36
6235,20120518,13.86
6236,20120525,361.22
6237,20120601,201.56
6238,20120608,76.15
6239,20120615,90.05
6240,20120622,1.16
6242,20120706,64.36
6243,20120713,22.07
6244,20120720,12.83
6245,20120727,1.23
6246,20120803,17.96
6247,20120810,57.66
6248,20120817,0.3
6249,20120824,22.0
6250,20120831,92.93
6251,20120907,52.63
6252,20120914,4.3
6253,20120921,63.24
6254,20120928,1.5
